,E1,pt1,eta1,phi1
137,-0.49002674,-0.47299546,-0.87759686,0.54215735
138,-0.13777414,0.54461026,0.019981422,0.23173554
139,0.12101359,-0.49342978,-1.3268588,-1.3683022
140,0.056334004,0.7383632,0.3078827,-0.8181673
141,2.059268,0.3492286,-2.0608382,1.0086919
142,-0.31794882,-1.0678078,-1.3728678,-1.3916895
143,0.03776225,-0.66321033,-1.3732191,-1.6403203
144,-0.053555816,0.43721038,-0.52452314,-0.5361481
145,1.5976346,0.35946852,1.7819554,1.7027516
146,2.274724,-0.06937414,-2.3842497,0.06580863
147,-0.12837027,-0.09645944,-0.9107256,1.2935697
148,0.6196796,1.3701718,0.24866936,0.0057374933
149,-0.96254694,-2.5540764,-1.7622331,1.4447001
150,2.6231828,-0.18998505,-2.6339674,-0.1260375
151,-2.017579,-1.6730366,0.2386539,0.30258268
152,0.43303898,1.2163862,0.11939994,1.0536861
153,1.222158,1.3374785,-0.9940166,0.8445963
154,0.6010037,0.35415468,-1.1554923,0.28225797
155,0.89623165,1.4521712,-0.5843824,1.3366162
156,-0.85640246,-1.4131374,1.2002474,1.5079402
157,-0.3090354,0.3777634,0.16434596,0.9143912
158,-1.7273364,-1.3405917,-0.31303135,0.14723992
159,-0.8065817,-1.518676,-1.3023245,-1.4058678
160,-0.34400204,0.3535182,0.026394576,-1.6135999
161,-0.733375,-0.5876774,0.6946234,0.3834687
162,-0.89944047,-0.6119494,-0.6120581,0.60477966
163,2.4215536,1.1521816,-1.8706149,0.37187904
164,1.928551,0.08355033,2.1086192,1.2488871
165,0.46912527,0.68881387,0.83832556,0.17217368
166,-1.8192953,-1.5823858,-0.39945236,1.0892819
167,-1.4592049,-1.0227245,0.26697096,-0.043051444
168,2.0204172,1.0295463,-1.69688,0.14209114
169,-0.6347929,-0.10547451,0.3219664,1.5902439
170,-0.6642283,-0.021683358,-0.0806058,0.8393602
171,1.362619,-0.3070017,1.9798961,-1.619654
172,0.30974317,1.0562063,-0.20214966,1.5189967
173,-1.3591492,-1.2129607,0.6439444,-1.3280602
174,-0.97029907,-1.2195289,-1.0057182,1.584329
175,0.20354314,0.78051555,-0.45956206,0.5153773
176,0.5377723,0.2608751,1.1713389,0.42243484
177,-0.70654917,-1.118697,1.1039993,-0.24224715
178,0.4620047,-0.5457444,1.5669142,-0.28490868
179,-0.63348824,0.007602897,-0.06161032,-0.5491778
180,-0.9453748,-1.3498555,1.1032547,-0.087965526
181,0.053502437,0.5981631,-0.5018484,0.047288917
182,0.7664376,-0.6459451,-1.8108258,1.1300193
183,0.6597472,1.0346515,0.7427164,1.2173868
184,0.85747343,1.6850064,-0.27771547,-1.3688197
185,2.1969206,2.6940303,0.83238184,-0.3965922
186,-0.28554776,0.11815309,0.5839752,1.5865769
187,-0.10446851,-0.6745039,1.2792221,1.1883459
188,-1.0260837,-0.76616824,-0.61499995,1.4593625
189,0.19137481,0.96199083,0.08202183,1.4928105
190,0.22577234,-1.0026859,1.6672615,-1.4972862
191,-0.60063833,0.020856725,0.04684059,-0.882509
192,1.2711806,1.4096417,0.98121756,0.35721612
193,1.2502933,1.9993302,0.47139594,-0.53348327
194,-0.7632592,-1.606377,1.3777561,-1.1082199
195,0.7539361,0.86841977,0.9439842,-1.0318533
196,-1.9816108,-1.5913421,0.098237276,-0.0035291426
197,0.92036706,1.6087353,0.482752,-1.3516366
198,-0.9793073,-1.2243052,0.99718124,-0.7928824
199,-0.22233716,0.058986887,0.70437485,-0.13787697
200,0.0016319985,0.5433079,-0.33067343,-0.8051131
201,0.23817664,0.69359815,0.61224693,0.13655172
202,0.7152334,1.5229439,0.15562806,-0.5091883
203,0.60163295,0.48839113,-1.0850272,-0.043020673
204,-1.0149841,-0.48788595,0.12710589,1.4554173
205,0.74020165,0.5533178,-1.1400237,0.844051
206,0.272285,0.7113822,-0.63930535,-0.50666314
207,-0.72226155,-0.59048814,-0.7672727,0.15607904
208,-0.6117055,-0.24811095,-0.49728152,0.07468671
209,-0.69095933,-0.11939691,-0.23986685,0.5007083
210,-0.029947849,0.04719055,-0.85757047,1.5248004
211,-1.9674367,-1.8372439,0.5803183,-0.6083541
212,-0.9162448,-0.6045309,0.54710567,-0.752529
213,1.8542385,0.70743763,1.7566051,-0.9085562
214,1.119102,1.956044,0.317616,0.9924438
215,-1.6237644,-1.2129768,-0.28776607,0.05434531
216,0.28173512,1.0484884,0.19388917,1.0588945
217,-0.17486677,0.024595397,0.739225,1.4582663
218,0.44404137,0.17355387,1.1563123,0.32810405
219,-1.2062006,-1.0257144,0.6443592,1.6859136
220,0.27843857,1.0323062,-0.1903188,-1.6161708
221,-0.42508572,-1.0568138,1.2900331,0.6322124
222,1.5191696,1.2427387,-1.2663672,-0.073090635
223,0.2637533,0.94075155,-0.23216544,1.6815232
224,-0.01869098,0.6720941,0.2575278,-1.6052198
225,-0.17642829,0.06338344,-0.74474305,0.07763031
226,0.63377726,1.2617503,0.5004881,1.5980675
227,-0.6749716,-0.13598292,-0.3531204,-0.036534637
228,-0.08445553,-0.9081682,-1.433994,0.94170713
229,-0.076148205,0.4290003,0.50699395,-0.080152474
230,0.17957197,-0.19619478,-1.2030878,1.1124078
231,-0.22639945,0.48399192,0.038696766,-1.5032067
232,1.2243001,-0.67273885,2.0782373,1.214204
233,0.3360971,0.7255667,-0.6785966,0.8613898
234,0.25338706,-0.016468473,1.1332512,-0.36572063
235,-0.2972696,0.15094802,0.52261096,-0.23292558
236,-0.059963856,0.46914956,-0.48486814,-0.68620074
237,-2.098966,-1.9068426,-0.5079067,-0.87332207
238,-0.758674,-0.43393996,0.5339659,-0.7131772
239,-0.6844865,-0.060950093,0.18180786,-1.5420465
240,-0.019017164,0.70793504,-0.08773844,-0.03217901
241,-0.6479005,-0.040994473,0.13169092,-0.89387167
242,0.8148102,0.46492147,-1.2457311,0.13992433
243,-0.39035276,0.26983935,-0.21629912,-0.6475223
244,0.55153686,1.1362429,-0.5409855,0.8370676
245,-0.5392715,-0.34128356,-0.7333213,-0.2220838
246,0.58867806,1.3825084,0.10104723,0.2559576
247,0.60822606,0.16055143,1.2535658,-1.1926936
248,0.48347974,0.62383103,-0.89364105,1.5828042
249,0.8827632,0.63234067,1.1870568,-1.2179786
250,-0.38479373,-0.020142961,-0.61546457,0.7156791
251,0.06442849,0.17009868,-0.8804503,-1.3981721
252,0.68789625,1.3420248,-0.4858733,-0.1682138
253,1.22238,2.136503,0.18991949,1.5764385
254,1.9541622,0.5798495,1.8788235,0.22458412
255,0.115454555,0.5299738,0.62695736,0.34084943
256,1.4444014,2.2120173,-0.49657324,-1.1215466
257,-0.75410974,-0.1971709,0.30449662,-1.7028259
258,-2.022657,-1.6074307,0.076523304,-0.33274403
259,0.6299093,1.0290141,-0.7175864,-1.5714825
260,0.9046338,1.3177956,-0.7285368,0.25540283
261,-0.9182135,-0.6435516,0.59517145,-1.391211
262,-1.7577734,-1.7351418,-0.723095,-0.2052391
263,-0.25091425,0.3452145,0.34986985,0.3258488
264,1.3667461,0.5464956,1.5457683,-1.5665914
265,0.08985015,-0.57147384,-1.3518691,-1.406747
266,0.54120535,-0.23510851,1.4539996,-0.8310379
267,-0.50527877,-0.04272207,0.48155645,1.5204213
268,0.80363894,1.6805483,-0.109164804,1.0955809
269,-0.57561225,0.09508458,0.015523079,-1.6952693
270,-1.9283638,-1.5052109,0.12144542,-0.14343809
271,-0.9045183,-0.4850378,0.394298,0.37074664
272,-0.28670907,0.38821188,-0.15798557,1.7174752
273,-0.34303737,0.36281407,-0.029405836,0.37650475
274,0.59654814,0.24348412,1.2214502,-0.8450826
275,0.72864866,1.219098,0.65220225,1.4305998
276,-0.17015211,0.5463272,0.14658491,-0.76479864
277,-0.7951374,-0.89516306,-0.92844814,-1.5599698
278,1.631891,1.7869694,1.0077157,-1.4867026
279,0.98549545,-1.0050741,2.1046417,1.1797544
280,-0.52963626,0.067140825,0.28473425,1.1149286
281,-0.6041361,0.006319233,0.24716443,-1.0994225
282,0.36710092,1.0938551,0.26395884,0.49438208
283,-0.8679115,-0.8350208,0.81983703,1.2733428
284,0.20406365,0.98070824,0.07126978,0.5214804
285,-0.7526824,-0.2867813,-0.349919,-1.5307118
286,0.1786073,0.46859598,0.7129205,-1.2579035
287,-0.9551164,-0.3739929,-0.17220075,-0.21997434
288,0.25248253,0.48268685,-0.80676,1.2782842
289,-1.4879185,-1.0463867,-0.26908368,-1.669901
290,1.2943953,1.9782621,-0.5030848,-0.676808
291,-1.8796743,-1.6192805,-0.47659108,0.54923815
292,1.7888209,1.3122946,-1.4047229,-0.5272561
293,-0.64109224,-0.038472608,0.23566446,1.3055665
294,-0.058899704,-1.1467799,-1.5781971,-0.07164332
295,0.95871586,0.66830194,1.2181752,0.7286443
296,0.9696882,-0.29186517,1.7442642,0.2634062
297,1.58951,1.6595203,-1.0665069,-1.1102842
298,-0.122501254,0.6070311,-0.040045135,0.26195997
299,-1.1815493,-0.73923004,-0.3404815,-0.14559822
300,-0.4799867,-0.4938336,-0.90448606,1.316384
301,0.019250643,0.06739221,-0.89141655,-0.47901955
302,0.3210301,0.10434033,-1.115384,0.42572063
303,0.115378216,0.8839681,0.09651148,-0.5320665
304,0.8527634,1.0207211,-0.91977555,0.82195455
305,0.6266983,0.479812,1.0983149,-1.1549333
306,-1.441399,-1.0359142,0.29982656,-1.5324757
307,1.2706208,-0.70115066,2.121062,-0.049039792
308,0.1847817,0.66354173,-0.56114787,-1.087292
309,-0.78370243,-0.8440706,0.8921244,-1.6522061
310,-0.3698771,-0.626059,1.0660021,-1.1343449
311,1.7233617,1.5788207,1.2016526,0.7775002
312,-1.219528,-0.6785314,0.008516114,-0.932066
313,-2.3285797,-2.3416677,0.6719215,-0.23755354
314,-1.3153641,-0.8192718,-0.11345973,0.71725386
315,0.59155124,1.429675,0.13592692,-0.8054136
316,-0.21574636,-0.45431012,1.0739188,1.035585
317,0.64957756,0.15365976,1.2976937,0.13488851
318,-0.14117017,-0.29763097,-1.0205443,-0.3745998
319,0.47143632,1.014252,-0.5661511,0.44401768
320,0.08439984,0.48201293,0.64032143,1.313112
321,-0.65123177,-1.555929,1.4217366,0.14670072
322,-0.36294854,-0.5586613,1.0257374,1.1451713
323,2.156159,-1.3989637,2.9425719,-1.6259807
324,0.40981734,0.9569899,0.5375798,-1.4439343
325,1.3910203,1.0263853,-1.3065854,-0.9032422
326,1.2198054,1.3572522,0.96909314,-0.94964415
327,1.0413958,0.38133892,-1.4403514,-0.09463674
328,0.104669616,0.2954083,-0.82386947,1.296135
329,-0.86715966,-1.6998732,-1.3649352,1.2819456
330,0.27972943,0.98389333,0.30975363,-0.13791259
331,-1.2508441,-1.0518476,0.49834064,0.039899714
332,-0.693467,-0.21371144,-0.23808882,1.1737337
333,0.1378295,0.861635,-0.11681952,0.66052425
334,-1.6133288,-1.1538641,0.20215267,-0.7105675
335,0.79063547,1.1131235,0.7865485,1.4182357
336,0.66625005,0.5842621,1.051439,-1.0539386
337,0.092866786,0.740401,-0.37957102,-0.52356243
338,0.75968254,0.34405917,1.2725021,-0.58153903
339,0.6009713,1.1136477,-0.6201946,1.5576696
340,2.0711172,0.02622137,-2.2248843,0.88336945
341,0.87080306,0.44155344,-1.2985395,-0.26983958
342,-1.2771332,-1.1856,-0.72817755,-1.110134
343,0.34326622,1.0010383,-0.3736839,-0.724078
344,0.07127145,0.818889,0.0991901,-0.008122218
345,0.42781305,-0.5661841,1.5610554,1.120632
346,0.3999508,0.17554355,1.119265,0.760779
347,-0.40576908,0.259439,-0.17080915,0.8626029
348,-1.6474024,-1.2581029,0.33623037,0.03311381
349,0.5363935,1.3485314,-0.066434234,-0.76117057
350,-1.2791297,-0.805098,-0.28062898,0.58654493
351,-1.7490914,-1.2765716,0.021345712,-0.7189476
352,-0.7838158,-0.3666439,-0.46078256,-0.1503942
353,-0.89185256,-0.27783045,-0.059410837,1.5976502
354,-1.5770782,-1.1479459,0.152846,0.32395297
355,-2.137856,-1.7209921,0.019593628,0.056540485
356,0.079527885,0.5792478,0.5253692,-1.4054838
357,-0.098456055,0.15396464,-0.74282223,-1.0433439
358,-0.032268163,0.5275161,-0.4027353,1.7353426
359,-0.5660465,-1.1089171,1.2257112,1.1316942
360,-1.0729758,-1.605786,-1.1799133,0.46147114
361,-0.26601362,0.32941473,0.36147636,-0.6004081
362,0.63701135,1.4887155,-0.09145554,-1.0474894
363,-1.0010114,-1.2135171,-0.9817891,-1.0317476
364,0.15924206,0.940682,0.04892244,-0.48392516
365,0.33605084,0.65945804,-0.73715496,-1.7247721
366,-0.4651302,0.15897894,-0.26577806,-0.1662067
367,0.17619677,0.9221972,0.17299023,-0.07137345
368,-1.0271988,-0.43784714,0.062425625,-0.23915277
369,0.8689454,0.28640664,1.3769629,-0.54416424
370,0.6569225,1.1691794,-0.6196711,0.55520046
371,-0.85506994,-0.3169795,0.19784755,-0.65428865
372,-0.35783136,-1.0938983,1.346581,1.543013
373,0.93838364,0.6104756,1.2179033,-0.90560704
374,2.1633859,-0.18115184,2.3665304,0.50478536
375,-0.28530255,-0.081146404,-0.7614479,0.72647417
376,0.98444515,0.88105315,-1.1140276,-1.2372205
377,-1.1619966,-0.68275946,-0.27640432,1.2542623
378,-0.26179403,-0.061099857,-0.71814847,-0.4733438
379,1.297035,1.9278275,0.60510075,1.3150151
380,0.9509984,-1.0017554,2.0873373,-0.6186261
381,-0.3074947,-0.11393332,-0.7552061,-0.3366336
382,0.30235192,-0.11379693,1.2278984,-0.67444307
383,0.4033931,-0.09133281,-1.291434,0.35133284
384,-0.5123646,0.0016713005,0.41567633,-1.1096221
385,-1.0635535,-0.58511543,-0.2071404,-0.34210402
386,-1.6110224,-1.4512274,0.61463237,0.91204864
387,-1.0277377,-0.46620005,-0.21498458,1.7052556
388,-0.8121615,-1.0503794,1.0045394,1.3839809
389,1.2188337,1.435299,0.9069708,-0.094363526
390,-0.21456654,0.5113714,0.043530207,-0.2934579
391,-0.2919558,0.2858691,0.15289359,1.298049
392,0.45350075,-1.0905073,1.8461187,0.4432075
393,0.2509742,-0.055122796,1.1542839,-1.5972626
394,-0.2613175,0.23040412,-0.46423435,-1.1512107
395,-1.195145,-0.71587,0.30061418,-0.42697525
396,0.03814164,0.5979973,-0.4441842,0.49290696
397,0.72766316,1.5915235,0.09548626,1.4081417
398,-1.813033,-1.6190611,-0.5508231,0.70060503
399,-0.42799595,0.17075923,0.30096436,-0.31751582
400,-0.6875286,-0.1556818,-0.36668283,0.20843776
401,-1.7612851,-1.329119,-0.18238506,0.82717407
402,0.07674258,0.43134564,0.67860186,0.64962906
403,-0.4627567,-1.364516,1.4365479,0.9343287
404,1.0147434,0.37415308,1.4186995,0.090553746
405,0.44633853,0.27220878,1.0970345,-0.5094521
406,1.3175846,0.92102057,1.3089694,-1.6921866
407,-1.5997816,-1.4638314,0.61141175,-0.91535044
408,3.0056133,0.3175248,2.5948641,1.2505565
409,-1.3605442,-0.81257534,-0.04603741,0.1373697
410,0.9089691,0.61461806,-1.2205509,0.102835044
411,0.31492049,-0.3662588,-1.3869991,1.6696653
412,-0.18030088,-0.40551218,1.0671014,0.75322807
413,0.53709215,1.3129792,-0.042636365,-0.8232922
414,-1.3997836,-1.4531449,0.80707574,-1.5698133
415,0.46460494,1.064962,0.504757,-0.36892077
416,-0.38748187,-0.15454255,0.71850955,-0.6784495
417,-0.7773591,-0.8581508,-0.91992736,1.125028
418,0.8865849,1.1058494,0.8853556,1.50996
419,0.3427735,-0.96770877,-1.7248592,-0.6410842
420,0.22649874,0.8831498,0.2971884,0.29463834
421,-0.38035667,0.005300325,0.5850415,1.1151401
422,-0.17211616,-0.30453065,1.0107981,1.1786916
423,0.44842753,1.2760686,0.082836054,1.1154183
424,-0.04602116,-0.40606308,1.1521194,0.060975354
425,1.0281286,-1.0963479,-2.1835327,-0.68891627
426,-0.8255074,-0.9726669,-0.95935124,0.7148111
427,0.56579185,1.1062346,-0.56756306,1.5611362
428,0.23184262,-1.4068367,-1.8837943,-0.19883831
429,-0.93401146,-1.155811,-0.9859933,-0.02971418
430,-1.1246935,-0.5547381,-0.03641405,0.45971557
431,3.1101246,-0.03986592,-2.829064,-0.4681494
432,0.8561317,1.5583622,0.39813396,0.5947247
433,-1.3233637,-0.77949697,-0.060647756,-1.6386956
434,1.3184799,0.83052224,-1.364516,-0.11304505
435,-0.3634205,0.0012407382,0.60905796,0.6651706
436,0.3158204,-1.101405,-1.7735993,1.4573592
437,2.4135656,1.3233074,1.771915,-1.2311218
438,-0.32059994,0.16692162,-0.49658796,1.4030837
439,2.3023064,1.1684574,1.7852983,-0.36395672
440,0.42205968,1.1206088,-0.35702547,-0.6352193
441,-0.14461015,-0.618143,-1.2279509,-0.71934825
442,-1.3974633,-1.9766979,-1.1751537,-0.0029606838
443,-0.9756429,-0.4059053,0.09002615,1.1793816
444,-0.17957447,0.15019654,0.66068673,-1.2095652
445,-0.3467827,-0.024459278,0.63242286,1.5647087
446,1.3229539,-0.1821761,-1.9026625,1.4775193
447,1.1720319,-0.08900617,1.7577269,0.31812975
448,0.677965,-0.4194934,-1.6433237,1.3223324
449,-1.4170414,-0.9331034,0.13907503,1.661825
450,-0.63480914,-0.901199,1.0440832,-1.7215225
451,-0.33606485,0.3388229,0.13893563,-0.46491033
452,-1.1881309,-0.65838856,0.2247832,-0.62851965
453,0.5280214,0.3467923,-1.1054139,1.3415519
454,0.85388076,1.4373395,-0.57825166,0.18399869
455,1.3545038,2.252161,-0.28857067,-0.42321646
456,-1.5205972,-1.0734613,-0.28895485,-1.6208338
457,1.465467,2.4190562,0.09023432,1.3895954
458,-0.2959024,0.1723852,0.5108333,-1.4948379
459,0.73257905,1.092296,0.7637582,0.52701813
460,-0.24143636,-0.17858718,-0.87272626,-0.95184207
461,1.3085926,-0.5751751,2.0810363,-0.12149912
462,-1.1414007,-0.6806815,-0.33735833,-0.33179143
463,-0.1658261,0.2996043,-0.52562577,0.75982195
464,1.2777808,1.7365749,-0.70301425,-0.035308734
465,2.550182,0.9091413,-2.0637167,-1.4330223
466,-1.461169,-1.054332,-0.30016696,1.7166626
467,0.4635408,1.1097351,-0.4575653,-1.1518673
468,-0.6844287,-0.06365649,0.13365594,-1.1681767
469,1.4447715,1.6296751,0.9688858,-0.7662343
470,0.53110975,0.7168939,0.86444986,-0.83281296
471,-1.8194896,-1.4315875,-0.2629416,0.9265384
472,-1.342884,-0.8089276,-0.13728379,0.8433499
473,-1.0180008,-0.89834017,0.7299177,-0.41502836
474,-0.33063766,0.35950327,-0.13986413,-0.043678444
475,-0.5385266,-0.92607,1.1213262,0.82647294
476,0.63675916,0.8909427,-0.83192444,1.1401689
477,-1.7250322,-1.8407606,0.82769597,-0.7492627
478,-0.8275362,-0.6563989,-0.69463634,0.72843844
479,-0.8305181,-0.80164284,-0.8321216,-0.18257621
480,-0.36393866,-0.037475094,0.642393,-1.303354
481,-0.19826883,0.28645745,0.51436675,-1.1933837
482,1.0995933,-0.65707815,2.0019598,-0.87344456
483,0.87230444,1.7696266,-0.048634764,0.8104584
484,-0.27170685,0.35251534,0.30090767,1.1917013
485,-0.5474284,0.092859566,-0.1700193,1.5306209
486,-0.98984706,-0.62313867,-0.49639758,0.07472455
487,-1.2805316,-1.7733897,1.105639,-0.8317056
488,0.57669246,-0.11027755,-1.4062413,-0.07744648
489,-0.0022567806,0.75190854,0.0107486835,-0.72925293
490,-0.6069168,-2.0205965,-1.7019681,-1.5743983
491,-0.8175031,-0.8293432,0.8558861,0.54642195
492,-0.4198575,0.067076646,-0.47123206,-1.1423744
493,0.11864007,-0.5796545,-1.3730605,-0.6040639
494,-0.8141325,-0.3473649,-0.43180257,-0.40893805
495,-0.7483032,-0.8080825,0.89162236,0.5000406
496,0.99307173,0.058476098,-1.5755,-0.2429811
497,-0.6949545,-0.21409921,0.31071007,0.986334
498,1.1621007,1.9694903,0.26792854,-0.7844244
499,0.5637769,0.7502692,-0.87812835,0.9347182
500,0.49732065,-0.7911997,-1.7253579,-1.280918
501,0.21357161,0.3502395,0.8602637,0.74535996
502,0.9638423,0.17024845,-1.5074044,1.6202419
503,-0.5548174,0.1166742,0.083767675,1.2252772
